GAME_DATE,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,POINTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,POINTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2020-12-19,12000047,Final,1610612753,1610612766,2020,1610612753,120,0.433,0.792,0.425,23,50,1610612766,117,0.444,0.864,0.439,21,52,1
2020-12-19,12000048,Final,1610612764,1610612765,2020,1610612764,99,0.427,0.625,0.295,24,45,1610612765,96,0.402,0.647,0.326,18,51,1
2020-12-19,12000049,Final,1610612763,1610612737,2020,1610612763,116,0.4,0.744,0.396,21,43,1610612737,117,0.422,0.837,0.297,24,47,0
2020-12-18,12000039,Final,1610612754,1610612755,2020,1610612754,107,0.371,0.692,0.262,19,45,1610612755,113,0.533,0.629,0.355,23,48,0
2020-12-18,12000040,Final,1610612761,1610612748,2020,1610612761,105,0.38,0.737,0.356,27,37,1610612748,117,0.534,0.741,0.514,30,51,0
2020-12-18,12000042,Final,1610612752,1610612739,2020,1610612752,119,0.513,0.788,0.517,27,41,1610612739,83,0.395,0.611,0.387,20,35,1
2020-12-18,12000041,Final,1610612738,1610612751,2020,1610612738,89,0.348,0.81,0.178,18,48,1610612751,113,0.432,0.778,0.457,26,53,0
2020-12-18,12000043,Final,1610612740,1610612749,2020,1610612740,127,0.512,0.614,0.364,25,51,1610612749,113,0.422,0.9,0.25,21,44,1
2020-12-18,12000044,Final,1610612760,1610612741,2020,1610612760,103,0.411,0.737,0.395,21,51,1610612741,105,0.424,0.588,0.268,27,56,0
2020-12-18,12000045,Final,1610612743,1610612757,2020,1610612743,129,0.474,0.778,0.409,30,53,1610612757,96,0.371,0.87,0.303,17,42,1
2020-12-18,12000046,Final,1610612756,1610612747,2020,1610612756,113,0.477,0.846,0.409,26,46,1610612747,114,0.506,0.593,0.533,25,33,0
2020-12-17,12000032,Final,1610612753,1610612766,2020,1610612753,115,0.474,0.917,0.324,26,53,1610612766,123,0.475,0.9,0.439,32,43,0
2020-12-17,12000033,Final,1610612764,1610612765,2020,1610612764,86,0.397,0.682,0.265,18,42,1610612765,97,0.494,0.583,0.4,20,42,0
2020-12-17,12000034,Final,1610612745,1610612759,2020,1610612745,128,0.527,0.929,0.395,26,42,1610612759,106,0.409,0.844,0.212,17,41,1
2020-12-17,12000035,Final,1610612763,1610612737,2020,1610612763,128,0.474,0.773,0.38,33,58,1610612737,106,0.381,0.864,0.289,25,46,1
2020-12-17,12000036,Final,1610612742,1610612750,2020,1610612742,127,0.424,0.92,0.455,28,45,1610612750,129,0.469,0.793,0.389,27,55,0
2020-12-17,12000038,Final,1610612758,1610612744,2020,1610612758,105,0.372,0.757,0.233,22,51,1610612744,113,0.424,0.833,0.465,20,54,0
2020-12-17,12000037,Final,1610612746,1610612762,2020,1610612746,105,0.461,0.87,0.5,23,37,1610612762,125,0.495,0.733,0.462,38,40,0
2020-12-16,12000028,Final,1610612752,1610612739,2020,1610612752,100,0.458,0.762,0.235,28,38,1610612739,93,0.402,0.778,0.5,23,44,1
2020-12-16,12000029,Final,1610612760,1610612741,2020,1610612760,103,0.381,0.68,0.324,22,46,1610612741,124,0.542,0.643,0.333,26,61,0
2020-12-16,12000030,Final,1610612743,1610612757,2020,1610612743,126,0.523,0.739,0.413,39,55,1610612757,95,0.378,0.75,0.265,20,33,1
2020-12-16,12000031,Final,1610612756,1610612747,2020,1610612756,107,0.407,0.8,0.31,26,45,1610612747,112,0.476,0.75,0.4,20,47,0
2020-12-15,12000025,Final,1610612755,1610612738,2020,1610612755,108,0.471,0.75,0.241,23,42,1610612738,99,0.434,0.727,0.282,19,42,1
2020-12-15,12000026,Final,1610612745,1610612759,2020,1610612745,112,0.44,0.654,0.333,23,51,1610612759,98,0.429,0.593,0.323,23,43,1
2020-12-15,12000027,Final,1610612758,1610612744,2020,1610612758,114,0.467,0.577,0.357,23,49,1610612744,113,0.427,0.621,0.302,28,53,1
2020-12-14,12000019,Final,1610612739,1610612754,2020,1610612739,116,0.514,0.811,0.375,24,52,1610612754,106,0.451,0.538,0.425,26,33,1
2020-12-14,12000020,Final,1610612766,1610612761,2020,1610612766,109,0.457,0.719,0.333,33,38,1610612761,112,0.476,0.739,0.341,23,37,0
2020-12-14,12000021,Final,1610612748,1610612740,2020,1610612748,92,0.427,0.818,0.283,26,35,1610612740,114,0.447,0.839,0.316,20,51,0
2020-12-14,12000022,Final,1610612749,1610612742,2020,1610612749,112,0.5,0.609,0.364,29,42,1610612742,128,0.463,0.692,0.478,22,49,0
2020-12-14,12000023,Final,1610612750,1610612763,2020,1610612750,104,0.402,0.719,0.275,20,47,1610612763,123,0.5,0.645,0.333,29,51,0
2020-12-14,12000024,Final,1610612762,1610612756,2020,1610612762,111,0.427,0.854,0.308,18,54,1610612756,92,0.42,0.667,0.286,16,37,1
2020-12-13,12000013,Final,1610612737,1610612753,2020,1610612737,116,0.427,0.676,0.395,27,61,1610612753,107,0.402,0.667,0.306,23,52,1
2020-12-13,12000014,Final,1610612751,1610612764,2020,1610612751,119,0.514,0.644,0.467,23,41,1610612764,114,0.433,0.727,0.378,26,47,1
2020-12-13,12000015,Final,1610612765,1610612752,2020,1610612765,99,0.421,0.676,0.343,23,42,1610612752,91,0.393,0.654,0.242,19,48,1
2020-12-13,12000016,Final,1610612741,1610612745,2020,1610612741,104,0.394,0.696,0.35,26,57,1610612745,91,0.345,0.864,0.255,15,47,1
2020-12-13,12000018,Final,1610612747,1610612746,2020,1610612747,131,0.568,0.677,0.72,28,45,1610612746,106,0.464,0.708,0.314,27,34,1
