account_id,district_id,frequency,account_open_date,client_id
576,55,MONTHLY STATEMENTS,1993-01-01,692
3818,74,MONTHLY STATEMENTS,1993-01-01,4601
704,55,MONTHLY STATEMENTS,1993-01-01,844
2378,16,MONTHLY STATEMENTS,1993-01-01,2873
2632,24,MONTHLY STATEMENTS,1993-01-02,3177
1972,77,MONTHLY STATEMENTS,1993-01-02,2397
1539,1,STATEMENTS AFTER TRANSACTION,1993-01-03,1866
793,47,MONTHLY STATEMENTS,1993-01-03,950
2484,74,MONTHLY STATEMENTS,1993-01-03,2999
1695,76,MONTHLY STATEMENTS,1993-01-03,2058
1726,48,MONTHLY STATEMENTS,1993-01-03,2093
2881,70,MONTHLY STATEMENTS,1993-01-04,3483
2357,19,MONTHLY STATEMENTS,1993-01-04,2849
2177,62,MONTHLY STATEMENTS,1993-01-04,2636
485,6,STATEMENTS AFTER TRANSACTION,1993-01-04,583
652,21,MONTHLY STATEMENTS,1993-01-05,782
9635,70,MONTHLY STATEMENTS,1993-01-05,11860
1844,44,MONTHLY STATEMENTS,1993-01-06,2236
1926,37,MONTHLY STATEMENTS,1993-01-06,2338
2393,10,MONTHLY STATEMENTS,1993-01-07,2889
3510,41,MONTHLY STATEMENTS,1993-01-07,4238
1276,36,MONTHLY STATEMENTS,1993-01-07,1540
1637,1,MONTHLY STATEMENTS,1993-01-08,1984
3871,26,MONTHLY STATEMENTS,1993-01-08,4665
192,55,MONTHLY STATEMENTS,1993-01-08,232
764,1,MONTHLY STATEMENTS,1993-01-08,914
2087,7,WEEKLY STATEMENTS,1993-01-08,2530
2122,68,MONTHLY STATEMENTS,1993-01-08,2566
3592,54,MONTHLY STATEMENTS,1993-01-08,4335
3487,41,MONTHLY STATEMENTS,1993-01-08,4215
435,38,MONTHLY STATEMENTS,1993-01-08,523
1730,1,MONTHLY STATEMENTS,1993-01-09,2099
1493,41,MONTHLY STATEMENTS,1993-01-09,1810
374,38,MONTHLY STATEMENTS,1993-01-09,454
2925,1,MONTHLY STATEMENTS,1993-01-10,3533
866,9,MONTHLY STATEMENTS,1993-01-10,1044
1628,60,MONTHLY STATEMENTS,1993-01-10,1973
2379,44,MONTHLY STATEMENTS,1993-01-10,2874
1979,26,MONTHLY STATEMENTS,1993-01-11,2404
346,37,MONTHLY STATEMENTS,1993-01-11,423
1338,74,MONTHLY STATEMENTS,1993-01-11,1619
1909,14,MONTHLY STATEMENTS,1993-01-12,2319
2099,3,WEEKLY STATEMENTS,1993-01-12,2542
3760,44,MONTHLY STATEMENTS,1993-01-13,4536
5270,44,MONTHLY STATEMENTS,1993-01-13,6367
1699,53,MONTHLY STATEMENTS,1993-01-14,2064
3909,1,MONTHLY STATEMENTS,1993-01-14,4715
2926,50,MONTHLY STATEMENTS,1993-01-14,3534
1731,33,MONTHLY STATEMENTS,1993-01-14,2100
11265,15,MONTHLY STATEMENTS,1993-01-14,13845
2519,4,MONTHLY STATEMENTS,1993-01-15,3041
10364,55,MONTHLY STATEMENTS,1993-01-17,12754
1481,15,MONTHLY STATEMENTS,1993-01-17,1794
401,32,MONTHLY STATEMENTS,1993-01-18,485
4034,1,MONTHLY STATEMENTS,1993-01-18,4862
2330,54,MONTHLY STATEMENTS,1993-01-19,2818
1806,40,MONTHLY STATEMENTS,1993-01-19,2187
3834,54,MONTHLY STATEMENTS,1993-01-19,4620
1222,66,MONTHLY STATEMENTS,1993-01-20,1475
212,27,WEEKLY STATEMENTS,1993-01-20,255
456,49,MONTHLY STATEMENTS,1993-01-21,548
459,47,MONTHLY STATEMENTS,1993-01-21,551
772,45,MONTHLY STATEMENTS,1993-01-21,924
1019,52,MONTHLY STATEMENTS,1993-01-21,1223
11295,74,MONTHLY STATEMENTS,1993-01-21,13886
2970,60,MONTHLY STATEMENTS,1993-01-22,3586
2676,73,MONTHLY STATEMENTS,1993-01-22,3231
1536,41,WEEKLY STATEMENTS,1993-01-22,1862
1179,74,MONTHLY STATEMENTS,1993-01-23,1419
280,25,MONTHLY STATEMENTS,1993-01-23,338
2425,41,MONTHLY STATEMENTS,1993-01-23,2930
9307,68,MONTHLY STATEMENTS,1993-01-24,11461
4055,23,MONTHLY STATEMENTS,1993-01-24,4886
5065,66,MONTHLY STATEMENTS,1993-01-24,6114
3704,75,MONTHLY STATEMENTS,1993-01-24,4466
477,1,MONTHLY STATEMENTS,1993-01-25,574
5891,54,MONTHLY STATEMENTS,1993-01-25,7127
1000,77,MONTHLY STATEMENTS,1993-01-25,1204
1750,1,MONTHLY STATEMENTS,1993-01-26,2122
2023,68,MONTHLY STATEMENTS,1993-01-26,2457
6473,12,MONTHLY STATEMENTS,1993-01-26,7815
1649,46,MONTHLY STATEMENTS,1993-01-26,1999
2670,13,MONTHLY STATEMENTS,1993-01-27,3225
1127,27,MONTHLY STATEMENTS,1993-01-27,1353
